ACC	FALSE
ACS	TRUE
AE	FALSE
AFC	FALSE
AINS	TRUE
AK	TRUE
AKE	TRUE
ALT	TRUE
AÖF	TRUE
AP	FALSE
ASS	TRUE
AST	TRUE
AV	TRUE
aVF	FALSE
AVK	TRUE
aVL	FALSE
AZ	TRUE
BD	TRUE
BEFUND	FALSE
BEFUNDE	FALSE
BHB	TRUE
BMS	FALSE
BZ	TRUE
CA	TRUE
CHE	TRUE
CK	TRUE
CMP	TRUE
COPD	FALSE
CV	TRUE
CX	FALSE
DD	TRUE
DDD	FALSE
DES	FALSE
DG	TRUE
DM	TRUE
DS	TRUE
EBA	TRUE
EF	FALSE
EKG	TRUE
EST	TRUE
EZ	TRUE
FA	TRUE
FCDS	TRUE
FL	TRUE
GERD	FALSE
GGT	TRUE
GOT	TRUE
HA	TRUE
HCT	TRUE
HDL	FALSE
HF	TRUE
HG	TRUE
HLP	TRUE
HNAP	TRUE
HPT	TRUE
HT	TRUE
HWS	TRUE
ICD	TRUE
IDDM	FALSE
IE	TRUE
II	FALSE
IIa	FALSE
IIb	FALSE
III	FALSE
INR	FALSE
IV	FALSE
KHK	TRUE
KHKIII	FALSE
KM	TRUE
LAD	FALSE
LCA	FALSE
LDL	FALSE
LKH	TRUE
LSB	TRUE
LV	TRUE
LVEF	FALSE
LVH	TRUE
MF	TRUE
MINS	TRUE
MR	FALSE
NINS	TRUE
NSTEMI	FALSE
NSVT	FALSE
NTX	TRUE
NYHA	FALSE
OA	TRUE
OAK	TRUE
ÖF	TRUE
OM	FALSE
OP	TRUE
PAE	TRUE
PAP	FALSE
PAVK	TRUE
PCI	FALSE
PNP	TRUE
PQ	FALSE
PRIND	TRUE
PTA	TRUE
PTCA	TRUE
PUINS	TRUE
QRS	FALSE
QT	FALSE
QTC	FALSE
RA	TRUE
RCA	TRUE
RGs	TRUE
RÖ	TRUE
RR	FALSE
RS	FALSE
RSB	TRUE
RV	TRUE
RW	TRUE
SAE	FALSE
SM	TRUE
SR	TRUE
ST	FALSE
TASS	TRUE
TEP	TRUE
TIA	TRUE
TRINS	TRUE
TX	TRUE
US	TRUE
USKG	TRUE
VA	TRUE
VB	TRUE
VCI	FALSE
VES	TRUE
VHFA	TRUE
VHT	TRUE
VT	TRUE
VVI	TRUE
ZAVK	TRUE
AAI	TRUE
ACE	TRUE
ACVB	TRUE
AEZ	TRUE
AFSD	TRUE
ALA	TRUE
ASD	TRUE
AT	TRUE
AVB	TRUE
AVF	TRUE
AVI	TRUE
AVN	TRUE
AVNRT	TRUE
BMI	TRUE
BOL	TRUE
BRS	TRUE
BWA	TRUE
CABG	TRUE
CCT	TRUE
CKMB	TRUE
CPR	TRUE
CRP	TRUE
CRT	TRUE
CT	TRUE
DE	TRUE
EDP	TRUE
EN	TRUE
EPATH	TRUE
EPU	TRUE
ERST	TRUE
ES	TRUE
FK	TRUE
HFT	TRUE
HK	TRUE
HN	TRUE
HNO	TRUE
HP	TRUE
HV	TRUE
HW	TRUE
ICR	TRUE
IIIII	TRUE
IPF	TRUE
IT	TRUE
LA	TRUE
LDH	TRUE
LDHÐÐÐ	TRUE
LIMA	TRUE
LM	TRUE
LN_ÐÐÐÐ	TRUE
LT	TRUE
LVF	TRUE
MBq	TRUE
MEL	TRUE
MET	TRUE
MI	TRUE
MPR	TRUE
PFO	TRUE
PNV	TRUE
PTBV	TRUE
PZ	TRUE
QRSs	TRUE
QTc	TRUE
RG	TRUE
RIM	TRUE
RSU	TRUE
RVF	TRUE
SB	TRUE
SVT	TRUE
TEE	TRUE
THN	TRUE
UE	TRUE
VAT	TRUE
VH	TRUE
VW	TRUE
WBST	TRUE
WPW	TRUE
ÜLT	TRUE
ÜZ	TRUE
üLT	TRUE
